country,iso3,year,total_cases,new_cases,deaths,prevalence,population,total_cases_per_100k,new_cases_per_100k,deaths_per_100k,case_fatality_rate,new_case_rate
Indonesia,IDN,2023,1090000.0,0,131000.0,0,281190067,387.64,0.00,46.59,12.02,0.00
Philippines,PHL,2023,739000.0,0,37000.0,0,114891199,643.22,0.00,32.20,5.01,0.00
Myanmar,MMR,2023,302000.0,0,49000.0,0,54133798,557.88,0.00,90.52,16.23,0.00
Viet Nam,VNM,2023,182000.0,0,13000.0,0,100352192,181.36,0.00,12.95,7.14,0.00
Thailand,THA,2023,113000.0,0,13000.0,0,71702435,157.60,0.00,18.13,11.50,0.00
Cambodia,KHM,2023,58000.0,0,4300.0,0,17423880,332.88,0.00,24.68,7.41,0.00
Malaysia,MYS,2023,43000.0,0,3100.0,0,35126298,122.42,0.00,8.83,7.21,0.00
Lao People's Democratic Republic,LAO,2023,10000.0,0,760.0,0,7664993,130.46,0.00,9.92,7.60,0.00
Timor-Leste,TLS,2023,6900.0,0,560.0,0,1384286,498.45,0.00,40.45,8.12,0.00
Singapore,SGP,2023,2400.0,0,33.0,0,5917648,40.56,0.00,0.56,1.38,0.00
