country,iso3,year,total_cases,new_cases,deaths,total_cases_per_100k,new_cases_per_100k,deaths_per_100k
Indonesia,IDN,2018,852000.0,0,99000.0,315.61,0.00,36.67
Indonesia,IDN,2019,851000.0,0,97000.0,312.31,0.00,35.60
Indonesia,IDN,2020,829000.0,0,108000.0,301.66,0.00,39.30
Indonesia,IDN,2021,946000.0,0,139000.0,341.81,0.00,50.22
Indonesia,IDN,2022,1080000.0,0,144000.0,387.33,0.00,51.64
Indonesia,IDN,2023,1090000.0,0,131000.0,387.64,0.00,46.59
Cambodia,KHM,2018,50000.0,0,3400.0,307.23,0.00,20.89
Cambodia,KHM,2019,47000.0,0,3300.0,285.17,0.00,20.02
Cambodia,KHM,2020,47000.0,0,3300.0,281.01,0.00,19.73
Cambodia,KHM,2021,48000.0,0,4000.0,282.78,0.00,23.57
Cambodia,KHM,2022,55000.0,0,4700.0,319.74,0.00,27.32
Cambodia,KHM,2023,58000.0,0,4300.0,332.88,0.00,24.68
Lao People's Democratic Republic,LAO,2018,12000.0,0,2400.0,168.35,0.00,33.67
Lao People's Democratic Republic,LAO,2019,11000.0,0,2200.0,151.98,0.00,30.40
Lao People's Democratic Republic,LAO,2020,11000.0,0,1600.0,149.73,0.00,21.78
Lao People's Democratic Republic,LAO,2021,11000.0,0,2200.0,147.59,0.00,29.52
Lao People's Democratic Republic,LAO,2022,10000.0,0,1100.0,132.29,0.00,14.55
Lao People's Democratic Republic,LAO,2023,10000.0,0,760.0,130.46,0.00,9.92
Myanmar,MMR,2018,177000.0,0,24000.0,338.61,0.00,45.91
Myanmar,MMR,2019,169000.0,0,22000.0,321.04,0.00,41.79
Myanmar,MMR,2020,165000.0,0,24000.0,311.22,0.00,45.27
Myanmar,MMR,2021,193000.0,0,40000.0,361.51,0.00,74.92
Myanmar,MMR,2022,256000.0,0,54000.0,476.22,0.00,100.45
Myanmar,MMR,2023,302000.0,0,49000.0,557.88,0.00,90.52
Malaysia,MYS,2018,30000.0,0,1900.0,91.16,0.00,5.77
Malaysia,MYS,2019,31000.0,0,1900.0,92.70,0.00,5.68
Malaysia,MYS,2020,31000.0,0,2100.0,91.47,0.00,6.20
Malaysia,MYS,2021,33000.0,0,2800.0,96.26,0.00,8.17
Malaysia,MYS,2022,39000.0,0,3600.0,112.41,0.00,10.38
Malaysia,MYS,2023,43000.0,0,3100.0,122.42,0.00,8.83
Philippines,PHL,2018,607000.0,0,29000.0,554.51,0.00,26.49
Philippines,PHL,2019,614000.0,0,30000.0,554.13,0.00,27.07
Philippines,PHL,2020,600000.0,0,35000.0,535.33,0.00,31.23
Philippines,PHL,2021,659000.0,0,41000.0,582.67,0.00,36.25
Philippines,PHL,2022,714000.0,0,38000.0,626.51,0.00,33.34
Philippines,PHL,2023,739000.0,0,37000.0,643.22,0.00,32.20
Singapore,SGP,2018,2700.0,0,37.0,47.88,0.00,0.66
Singapore,SGP,2019,2400.0,0,33.0,42.08,0.00,0.58
Singapore,SGP,2020,2700.0,0,32.0,47.49,0.00,0.56
Singapore,SGP,2021,2800.0,0,32.0,51.34,0.00,0.59
Singapore,SGP,2022,3100.0,0,33.0,54.99,0.00,0.59
Singapore,SGP,2023,2400.0,0,33.0,40.56,0.00,0.56
Thailand,THA,2018,109000.0,0,12000.0,152.71,0.00,16.81
Thailand,THA,2019,107000.0,0,12000.0,149.60,0.00,16.78
Thailand,THA,2020,103000.0,0,11000.0,143.77,0.00,15.35
Thailand,THA,2021,101000.0,0,11000.0,140.81,0.00,15.34
Thailand,THA,2022,107000.0,0,14000.0,149.16,0.00,19.52
Thailand,THA,2023,113000.0,0,13000.0,157.60,0.00,18.13
Timor-Leste,TLS,2018,6400.0,0,1200.0,501.58,0.00,94.05
Timor-Leste,TLS,2019,6500.0,0,1200.0,499.64,0.00,92.24
Timor-Leste,TLS,2020,6600.0,0,1600.0,497.72,0.00,120.66
Timor-Leste,TLS,2021,6700.0,0,1600.0,496.25,0.00,118.51
Timor-Leste,TLS,2022,6800.0,0,840.0,496.61,0.00,61.35
Timor-Leste,TLS,2023,6900.0,0,560.0,498.45,0.00,40.45
Viet Nam,VNM,2018,175000.0,0,13000.0,181.84,0.00,13.51
Viet Nam,VNM,2019,171000.0,0,11000.0,175.97,0.00,11.32
Viet Nam,VNM,2020,169000.0,0,11000.0,172.31,0.00,11.22
Viet Nam,VNM,2021,167000.0,0,12000.0,168.80,0.00,12.13
Viet Nam,VNM,2022,178000.0,0,14000.0,178.57,0.00,14.04
Viet Nam,VNM,2023,182000.0,0,13000.0,181.36,0.00,12.95
