country,iso3,year,population
Indonesia,IDN,2023,281190067.0
Indonesia,IDN,2022,278830529.0
Indonesia,IDN,2021,276758053.0
Indonesia,IDN,2020,274814866.0
Indonesia,IDN,2019,272489381.0
Indonesia,IDN,2018,269951846.0
Cambodia,KHM,2023,17423880.0
Cambodia,KHM,2022,17201724.0
Cambodia,KHM,2021,16974305.0
Cambodia,KHM,2020,16725474.0
Cambodia,KHM,2019,16481304.0
Cambodia,KHM,2018,16274522.0
Lao PDR,LAO,2023,7664993.0
Lao PDR,LAO,2022,7559007.0
Lao PDR,LAO,2021,7453194.0
Lao PDR,LAO,2020,7346533.0
Lao PDR,LAO,2019,7237636.0
Lao PDR,LAO,2018,7128045.0
Myanmar,MMR,2023,54133798.0
Myanmar,MMR,2022,53756787.0
Myanmar,MMR,2021,53387102.0
Myanmar,MMR,2020,53016522.0
Myanmar,MMR,2019,52640713.0
Myanmar,MMR,2018,52272247.0
Malaysia,MYS,2023,35126298.0
Malaysia,MYS,2022,34695493.0
Malaysia,MYS,2021,34282399.0
Malaysia,MYS,2020,33889558.0
Malaysia,MYS,2019,33440596.0
Malaysia,MYS,2018,32910967.0
Philippines,PHL,2023,114891199.0
Philippines,PHL,2022,113964338.0
Philippines,PHL,2021,113100950.0
Philippines,PHL,2020,112081264.0
Philippines,PHL,2019,110804683.0
Philippines,PHL,2018,109465287.0
Singapore,SGP,2023,5917648.0
Singapore,SGP,2022,5637022.0
Singapore,SGP,2021,5453566.0
Singapore,SGP,2020,5685807.0
Singapore,SGP,2019,5703569.0
Singapore,SGP,2018,5638676.0
Thailand,THA,2023,71702435.0
Thailand,THA,2022,71735329.0
Thailand,THA,2021,71727332.0
Thailand,THA,2020,71641484.0
Thailand,THA,2019,71522271.0
Thailand,THA,2018,71376079.0
Timor-Leste,TLS,2023,1384286.0
Timor-Leste,TLS,2022,1369295.0
Timor-Leste,TLS,2021,1350139.0
Timor-Leste,TLS,2020,1326053.0
Timor-Leste,TLS,2019,1300945.0
Timor-Leste,TLS,2018,1275959.0
Viet Nam,VNM,2023,100352192.0
Viet Nam,VNM,2022,99680655.0
Viet Nam,VNM,2021,98935098.0
Viet Nam,VNM,2020,98079191.0
Viet Nam,VNM,2019,97173776.0
Viet Nam,VNM,2018,96237319.0
